tahun,wilayah_id,wilayah,sektor_kode,sektor,pdrb_wil,share_wil,share_nas,lq
2025,6309,Tabalong,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",51.56,0.002843,0.000847,3.3572
2025,6309,Tabalong,F,Konstruksi,1082.43,0.059692,0.100819,0.5921
2025,6309,Tabalong,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1510.58,0.083303,0.136507,0.6102
2025,6309,Tabalong,H,Transportasi dan Pergudangan,398.47,0.021974,0.050449,0.4356
2025,6309,Tabalong,I,Penyediaan Akomodasi dan Makan Minum,323.05,0.017815,0.034282,0.5197
2025,6309,Tabalong,J,Informasi dan Komunikasi,1054.91,0.058174,0.072363,0.8039
2025,6309,Tabalong,K,Jasa Keuangan dan Asuransi,304.47,0.01679,0.041551,0.4041
2025,6309,Tabalong,L,Real Estat,245.62,0.013545,0.028076,0.4825
2025,6309,Tabalong,MN,Jasa Perusahaan,51.15,0.002821,0.021103,0.1337
2025,6309,Tabalong,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",566.67,0.03125,0.032224,0.9698
2025,6309,Tabalong,P,Jasa Pendidikan,583.21,0.032162,0.030062,1.0698
2025,6309,Tabalong,Q,Jasa Kesehatan dan Kegiatan Sosial,140.97,0.007774,0.014834,0.5241
2025,6309,Tabalong,RSTU,Jasa Lainnya,135.47,0.007471,0.022545,0.3314
2020,6310,Tanah Bumbu,A,"Pertanian, Kehutanan, dan Perikanan",2544.39,0.165267,0.133415,1.2387
2020,6310,Tanah Bumbu,B,Pertambangan dan Penggalian,6289.0,0.408492,0.07651,5.339
2020,6310,Tanah Bumbu,C,Industri Pengolahan,1063.14,0.069055,0.213898,0.3228
2020,6310,Tanah Bumbu,D,Pengadaan Listrik dan Gas,7.05,0.000458,0.010533,0.0435
2020,6310,Tanah Bumbu,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",16.33,0.001061,0.000915,1.1597
2020,6310,Tanah Bumbu,F,Konstruksi,895.87,0.05819,0.103791,0.5606
2020,6310,Tanah Bumbu,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1053.65,0.068438,0.134117,0.5103
2020,6310,Tanah Bumbu,H,Transportasi dan Pergudangan,900.7,0.058504,0.038079,1.5364
2020,6310,Tanah Bumbu,I,Penyediaan Akomodasi dan Makan Minum,135.75,0.008817,0.028952,0.3046
2020,6310,Tanah Bumbu,J,Informasi dan Komunikasi,578.0,0.037543,0.063113,0.5949
2020,6310,Tanah Bumbu,K,Jasa Keuangan dan Asuransi,250.49,0.01627,0.04428,0.3674
2020,6310,Tanah Bumbu,L,Real Estat,336.71,0.02187,0.031385,0.6968
2020,6310,Tanah Bumbu,MN,Jasa Perusahaan,39.02,0.002534,0.018939,0.1338
2020,6310,Tanah Bumbu,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",419.39,0.027241,0.035372,0.7701
2020,6310,Tanah Bumbu,P,Jasa Pendidikan,595.56,0.038684,0.033903,1.141
2020,6310,Tanah Bumbu,Q,Jasa Kesehatan dan Kegiatan Sosial,153.77,0.009988,0.013766,0.7255
2020,6310,Tanah Bumbu,RSTU,Jasa Lainnya,116.84,0.007589,0.01903,0.3988
2021,6310,Tanah Bumbu,A,"Pertanian, Kehutanan, dan Perikanan",2601.04,0.16209,0.131609,1.2316
2021,6310,Tanah Bumbu,B,Pertambangan dan Penggalian,6413.41,0.399666,0.077052,5.187
2021,6310,Tanah Bumbu,C,Industri Pengolahan,1411.03,0.087932,0.214146,0.4106
2021,6310,Tanah Bumbu,D,Pengadaan Listrik dan Gas,7.4,0.000461,0.010765,0.0428
2021,6310,Tanah Bumbu,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",17.37,0.001082,0.00093,1.1643
2021,6310,Tanah Bumbu,F,Konstruksi,911.61,0.056809,0.103334,0.5498
2021,6310,Tanah Bumbu,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1057.44,0.065897,0.135886,0.4849
2021,6310,Tanah Bumbu,H,Transportasi dan Pergudangan,913.1,0.056902,0.038068,1.4947
2021,6310,Tanah Bumbu,I,Penyediaan Akomodasi dan Makan Minum,138.45,0.008628,0.029124,0.2962
2021,6310,Tanah Bumbu,J,Informasi dan Komunikasi,620.36,0.038659,0.06528,0.5922
2021,6310,Tanah Bumbu,K,Jasa Keuangan dan Asuransi,243.53,0.015176,0.043548,0.3485
2021,6310,Tanah Bumbu,L,Real Estat,350.22,0.021825,0.031237,0.6987
2021,6310,Tanah Bumbu,MN,Jasa Perusahaan,40.2,0.002505,0.018474,0.1356
2021,6310,Tanah Bumbu,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",435.14,0.027117,0.034139,0.7943
2021,6310,Tanah Bumbu,P,Jasa Pendidikan,602.11,0.037522,0.032866,1.1417
2021,6310,Tanah Bumbu,Q,Jasa Kesehatan dan Kegiatan Sosial,166.23,0.010359,0.014723,0.7036
2021,6310,Tanah Bumbu,RSTU,Jasa Lainnya,118.27,0.00737,0.018818,0.3917
2022,6310,Tanah Bumbu,A,"Pertanian, Kehutanan, dan Perikanan",2711.86,0.160268,0.128232,1.2498
