provinsi,sektor_kode,sektor,nilai,bulan
DKI Jakarta,B,Pertambangan dan Penggalian,317357305453640,2026-03
DKI Jakarta,C,Industri Pengolahan,843959046037211,2026-03
DKI Jakarta,D,Pengadaan Listrik dan Gas,223307113123978,2026-03
DKI Jakarta,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",11739543390461,2026-03
DKI Jakarta,F,Konstruksi,445685475949237,2026-03
DKI Jakarta,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,463132036015686,2026-03
DKI Jakarta,H,Transportasi dan Pergudangan,207884452709844,2026-03
DKI Jakarta,I,Penyediaan Akomodasi dan Makan Minum,55008885192924,2026-03
DKI Jakarta,J,Informasi dan Komunikasi,196179379885129,2026-03
DKI Jakarta,K,Jasa Keuangan dan Asuransi,551257275092176,2026-03
DKI Jakarta,L,Real Estat,202017635221311,2026-03
DKI Jakarta,MN,Jasa Perusahaan,107996465744486,2026-03
DKI Jakarta,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",18532147879885,2026-03
DKI Jakarta,P,Jasa Pendidikan,5957267896443,2026-03
DKI Jakarta,Q,Jasa Kesehatan dan Kegiatan Sosial,18716849401716,2026-03
DKI Jakarta,RSTU,Jasa Lainnya,114065828636102,2026-03
DKI Jakarta,RT,Rumah Tangga (konsumsi),693281882488105,2026-03
Gorontalo,A,"Pertanian, Kehutanan, dan Perikanan",770947168292,2026-03
Gorontalo,B,Pertambangan dan Penggalian,35123504011,2026-03
Gorontalo,C,Industri Pengolahan,286177071578,2026-03
Gorontalo,D,Pengadaan Listrik dan Gas,2078228134900,2026-03
Gorontalo,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",3600299949,2026-03
Gorontalo,F,Konstruksi,136142079368,2026-03
Gorontalo,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,2541845437348,2026-03
Gorontalo,H,Transportasi dan Pergudangan,32645663798,2026-03
Gorontalo,I,Penyediaan Akomodasi dan Makan Minum,190582025802,2026-03
Gorontalo,J,Informasi dan Komunikasi,16807648675,2026-03
Gorontalo,K,Jasa Keuangan dan Asuransi,1213290428,2026-03
Gorontalo,L,Real Estat,55864501666,2026-03
Gorontalo,MN,Jasa Perusahaan,35665006240,2026-03
Gorontalo,P,Jasa Pendidikan,61728515847,2026-03
Gorontalo,Q,Jasa Kesehatan dan Kegiatan Sosial,45723982629,2026-03
Gorontalo,RSTU,Jasa Lainnya,355913130894,2026-03
Gorontalo,RT,Rumah Tangga (konsumsi),11534121974126,2026-03
Jambi,A,"Pertanian, Kehutanan, dan Perikanan",16657825005366,2026-03
Jambi,B,Pertambangan dan Penggalian,629653686256,2026-03
Jambi,C,Industri Pengolahan,2873718410204,2026-03
Jambi,D,Pengadaan Listrik dan Gas,13663428600,2026-03
Jambi,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",10546958255,2026-03
Jambi,F,Konstruksi,996133745975,2026-03
Jambi,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,8538587792149,2026-03
Jambi,H,Transportasi dan Pergudangan,467176053335,2026-03
Jambi,I,Penyediaan Akomodasi dan Makan Minum,1358970128556,2026-03
Jambi,J,Informasi dan Komunikasi,30768885103,2026-03
Jambi,K,Jasa Keuangan dan Asuransi,37277906225,2026-03
Jambi,L,Real Estat,446933858382,2026-03
